iter	Passed	Remaining
0	137	137015
1	138	69328
2	140	46687
3	142	35411
4	143	28638
5	145	24128
6	147	20882
7	148	18432
8	149	16508
9	150	14939
10	151	13664
11	152	12588
12	153	11674
13	154	10893
14	155	10201
15	156	9600
16	156	9070
17	157	8592
18	158	8172
19	158	7785
20	159	7443
21	160	7127
22	161	6839
23	161	6578
24	162	6331
25	163	6107
26	163	5897
27	164	5706
28	165	5526
29	165	5359
30	166	5199
31	167	5055
32	167	4916
33	168	4787
34	169	4664
35	169	4547
36	170	4437
37	171	4334
38	172	4239
39	172	4143
40	173	4053
41	173	3966
42	174	3888
43	175	3809
44	176	3736
45	176	3663
46	177	3596
47	178	3532
48	178	3469
49	179	3408
50	180	3351
51	180	3298
52	181	3243
53	182	3192
54	182	3142
55	183	3095
56	184	3049
57	184	3003
58	185	2960
59	186	2920
60	187	2880
61	187	2842
62	188	2805
63	189	2770
64	190	2734
65	190	2700
66	191	2665
67	192	2633
68	192	2601
69	193	2570
70	194	2539
71	194	2510
72	195	2481
73	196	2453
74	196	2425
75	197	2401
76	198	2374
77	198	2350
78	199	2324
79	200	2300
80	200	2278
81	201	2255
82	201	2230
83	202	2207
84	203	2187
85	203	2166
86	204	2146
87	205	2126
88	205	2106
89	206	2086
90	207	2069
91	207	2050
92	208	2033
93	209	2015
94	209	1998
95	210	1980
96	210	1963
97	211	1948
98	212	1932
99	213	1917
100	213	1903
101	214	1889
102	215	1876
103	216	1863
104	217	1850
105	217	1836
106	218	1824
107	219	1810
108	220	1798
109	220	1785
110	221	1772
111	222	1761
112	222	1749
113	223	1736
114	224	1724
115	224	1713
116	225	1700
117	226	1689
118	226	1678
119	227	1667
120	228	1656
121	228	1645
122	229	1637
123	230	1627
124	231	1618
125	231	1608
126	232	1597
127	233	1588
128	233	1579
129	234	1569
130	235	1560
131	235	1551
132	236	1541
133	237	1532
134	237	1524
135	238	1516
136	239	1506
137	239	1498
138	240	1490
139	241	1482
140	242	1474
141	242	1464
142	243	1457
143	243	1449
144	244	1442
145	245	1434
146	246	1427
147	246	1420
148	247	1412
149	248	1405
150	248	1397
151	249	1390
152	249	1383
153	250	1376
154	251	1370
155	251	1363
156	252	1356
157	253	1349
158	253	1342
159	254	1336
160	254	1328
161	255	1322
162	256	1315
163	256	1309
164	257	1304
165	258	1298
166	259	1292
167	259	1286
168	260	1281
169	261	1275
170	261	1270
171	262	1264
172	263	1258
173	264	1253
174	264	1247
175	265	1242
176	265	1236
177	266	1230
178	267	1225
179	267	1219
180	268	1214
181	269	1209
182	269	1204
183	270	1199
184	270	1193
185	271	1188
186	272	1183
187	272	1178
188	273	1173
189	274	1168
190	274	1164
191	275	1159
192	276	1155
193	277	1151
194	277	1146
195	278	1142
196	279	1137
197	279	1133
198	280	1128
199	281	1124
200	281	1119
201	282	1115
202	282	1110
203	283	1106
204	284	1102
205	285	1098
206	285	1094
207	286	1090
208	287	1086
209	287	1082
210	288	1078
211	289	1074
212	289	1070
213	290	1067
214	291	1063
215	292	1059
216	292	1055
217	293	1052
218	293	1048
219	294	1044
220	295	1040
221	295	1037
222	296	1033
223	297	1030
224	298	1027
225	298	1023
226	299	1019
227	300	1016
228	300	1012
229	301	1009
230	302	1005
231	302	1002
